ADC,DAC
67,72
765,76
1077,79
1203,81
1260,83
1313,84
1334,83
1323,83
1322,81
1321,79
1287,78
1275,76
1245,74
1216,74
1207,73
1158,74
1273,75
1278,76
1230,78
1246,80
1295,82
1308,84
1341,85
1358,86
1360,86
1370,86
1382,84
1360,82
1343,79
1314,76
1265,72
1202,68
1156,65
1077,62
1041,59
995,56
957,54
911,52
862,51
868,49
831,48
814,47
813,45
769,43
738,41
721,39
670,36
651,33
608,30
561,27
523,24
464,22
447,20
399,19
496,20
387,21
388,23
419,26
460,30
497,35
611,40
751,45
687,51
838,56
912,61
923,65
1099,69
1109,72
1088,75
1180,77
1233,78
1270,79
1265,80
1151,80
1307,79
1298,79
1386,78
1257,76
1093,74
1232,72
1295,69
1125,65
1111,61
993,56
1059,51
846,45
802,40
737,34
656,30
583,26
497,23
317,22
410,22
432,24
437,27
480,32
543,39
626,47
707,55
880,63
903,71
1098,79
1215,84
1301,89
1377,91
1424,91
1535,89
1387,85
1386,79
1331,72
1359,63
1099,55
1074,46
925,39
750,33
546,28
559,26
504,26
496,28
509,32
564,37
606,44
703,51
795,59
896,67
1035,73
1130,78
1217,82
1298,83
1333,83
1328,81
1228,77
1378,72
1310,66
1136,60
1124,55
948,49
869,45
788,43
762,41
720,42
720,44
743,47
770,52
826,57
897,62
961,67
1055,71
1141,75
1178,78
1243,79
1258,79
1275,78
1264,76
1244,73
1201,69
1152,66
1124,63
1043,60
1008,58
976,58
958,58
955,59
960,61
967,64
1031,68
1081,71
1136,75
1195,78
1232,81
1277,82
1315,83
1328,83
1330,83
1349,81
1327,79
1294,77
1263,75
1239,72
1204,71
1174,69
1152,69
1136,69
1136,69
1135,70
1136,72
1167,73
1170,75
1215,76
1226,77
1232,77
1241,76
1234,75
1218,72
1198,70
1168,66
1119,62
1051,58
979,54
922,51
877,47
814,44
774,42
737,40
701,38
701,37
659,36
637,36
635,35
623,34
597,33
597,32
575,30
554,28
530,26
497,24
469,22
439,21
416,20
397,19
389,20
406,22
412,24
429,28
477,32
535,37
610,42
671,48
754,53
826,59
887,64
1005,68
1079,72
1132,75
1189,78
1244,79
1254,80
1283,80
1291,80
1286,79
1271,78
1269,76
1243,74
1227,72
1197,70
1168,67
1123,64
1085,60
1010,57
934,52
894,48
832,43
784,38
689,33
636,29
562,26
499,23
461,22
433,22
432,24
448,27
575,32
522,38
618,45
712,53
808,61
918,69
1008,76
1168,83
1318,87
1343,90
1310,91
1435,90
1426,86
1397,81
1353,74
1232,66
1146,57
991,49
886,41
737,34
656,29
567,26
592,24
466,25
453,29
417,34
543,40
654,48
684,55
843,63
891,70
1104,76
1144,81
1261,84
1439,84
1360,83
1228,80
1383,75
1252,70
1040,64
1107,57
965,52
912,47
