ADC,DAC
768,43
762,41
656,41
704,42
711,44
681,48
745,53
827,58
912,64
1021,69
1089,73
1166,76
1206,78
1338,79
1283,78
1337,77
1264,74
1211,71
1195,67
1113,63
1062,60
1002,57
961,56
918,55
899,55
919,57
913,59
942,62
981,65
1045,69
1118,72
1148,75
1153,77
1232,78
1262,79
1269,78
1274,77
1253,74
1217,72
1181,69
1157,66
1138,64
1090,61
1023,60
942,59
970,59
966,59
880,60
976,61
976,62
992,63
1021,64
1043,64
1071,63
1049,62
1011,60
976,58
964,54
917,51
867,47
816,43
761,39
689,35
635,32
595,29
550,28
528,26
495,25
475,25
471,25
485,25
463,25
462,25
466,25
461,24
461,24
442,23
451,22
435,21
412,20
400,20
397,20
397,21
405,23
420,26
462,29
496,34
564,38
624,44
704,49
774,55
849,61
946,66
1038,70
1110,74
1173,77
1200,79
1253,80
1279,80
1285,80
1290,79
1282,77
1261,75
1230,72
1200,70
1165,67
1123,64
1095,61
1030,58
976,54
922,51
870,47
814,43
750,39
701,35
654,31
592,27
537,25
491,22
450,21
418,22
420,23
431,26
454,30
525,36
589,43
688,50
765,58
883,66
1008,73
1123,79
1222,84
1307,88
1382,89
1399,88
1407,86
1387,81
1339,74
1214,67
1157,58
1013,50
893,41
781,34
658,28
575,24
496,22
451,22
433,24
259,28
485,34
577,42
657,50
774,58
881,66
1002,72
1122,78
1201,81
1252,83
1290,83
1335,80
1307,76
1266,71
1209,65
1111,58
1005,52
901,46
817,42
782,39
630,37
654,37
784,39
661,42
763,47
720,52
883,57
983,63
973,67
1065,71
1211,74
1079,76
1138,76
1214,75
1210,72
1189,69
1200,65
1172,61
964,57
955,54
790,51
871,49
686,49
865,49
803,51
845,53
860,56
901,59
847,63
985,66
1104,68
1110,70
1101,70
1137,70
1125,69
1148,67
1119,64
1058,61
980,57
1065,54
918,51
869,49
817,47
806,46
769,46
765,46
754,47
784,47
768,48
802,49
801,50
895,50
830,49
745,48
816,45
806,43
672,39
704,36
624,32
608,28
571,25
486,21
398,19
402,17
384,16
357,16
318,16
335,16
330,17
343,18
367,19
399,20
381,21
395,22
419,22
421,22
416,22
418,22
409,23
442,23
431,24
432,26
476,29
498,32
662,36
592,41
709,46
712,51
795,57
881,62
967,67
1060,71
1114,75
1186,78
1232,79
1263,80
1285,80
1295,79
1297,77
1252,74
1197,71
1179,68
1134,65
998,61
1023,58
961,54
920,51
880,47
821,44
765,40
721,37
669,34
613,30
579,27
523,25
483,23
447,21
432,20
400,21
427,22
412,25
453,29
496,34
546,40
646,47
733,54
830,62
928,69
1071,75
1156,80
1244,84
1317,86
1354,86
1373,84
1359,79
1311,73
1226,66
1136,58
1009,49
879,41
753,33
653,26
547,21
458,18
400,17
368,19
377,22
400,28
473,35
567,43
671,51
784,59
895,66
1037,73
1138,77
1217,80
1264,80
1289,79
1279,75
1239,71
1198,65
1110,58
1005,51
896,45
807,39
720,35
655,32
597,31
576,32
573,35
598,38
630,43
708,49
784,54
849,60
937,64
1015,68
1078,70
1124,71
1152,70
1153,68
1130,65
1099,61
1023,57
960,52
900,48
822,45
778,42
748,41
714,40
693,41
705,43
726,45
743,48
764,51
816,54
863,57
903,59
945,60
962,60
970,59
965,58
944,55
911,52
884,48
829,45
791,41
742,38
763,36
645,34
608,33
589,33
595,33
606,34
600,35
618,36
627,37
639,37
640,37
593,36
624,35
621,33
592,30
561,27
502,24
470,20
432,17
380,14
260,12
276,10
272,9
360,9
243,10
249,11
271,13
286,14
358,16
320,19
318,20
348,22
503,24
534,25
451,26
481,27
503,27
496,28
498,30
607,32
400,34
576,37
617,41
704,45
723,49
777,54
805,59
915,64
1005,69
1039,73
1162,76
1201,78
1187,79
1263,80
1163,79
1280,77
1289,75
1194,71
1181,68
1219,64
1076,60
1047,55
944,51
784,47
825,44
771,40
717,37
645,34
626,31
640,28
572,26
511,24
461,22
353,21
381,20
389,20
394,20
403,22
523,24
435,28
511,33
497,38
625,45
718,52
709,58
869,65
1167,71
1136,76
1194,80
1221,82
1218,83
1350,81
1263,77
1275,72
1234,65
1124,57
1010,49
875,40
709,32
641,25
532,19
434,15
360,13
338,14
319,17
341,21
398,28
466,35
557,44
692,52
801,60
891,67
1105,72
1147,76
1216,77
1235,77
1232,74
1211,70
1168,64
1082,57
979,50
880,43
786,37
703,31
734,28
535,26
496,25
486,27
491,30
511,34
574,40
651,45
720,51
807,56
869,60
940,63
992,65
1014,65
1072,63
1062,61
931,57
961,53
897,48
831,43
768,39
795,36
656,33
621,32
655,32
577,33
591,35
613,37
630,40
686,43
711,46
746,49
787,50
810,51
834,51
841,49
816,47
798,44
758,41
720,37
677,33
617,30
562,27
522,24
483,23
443,22
445,22
417,23
431,24
446,25
464,27
471,28
500,28
524,28
498,28
509,27
511,25
485,23
448,20
410,17
383,14
322,12
298,10
271,8
240,8
233,8
230,9
229,10
241,12
272,15
307,18
345,21
386,24
431,26
457,29
457,31
522,32
559,34
582,35
607,36
631,38
650,40
667,42
691,44
716,47
763,50
803,54
859,58
912,63
980,67
1054,71
1122,74
1170,77
1223,79
1255,79
1264,79
1267,78
1275,76
1244,73
1205,69
1163,65
1104,60
1017,55
947,50
873,46
813,41
736,37
686,34
627,31
575,28
537,26
502,24
483,22
446,21
432,20
405,20
400,19
375,20
389,21
407,23
432,25
455,29
507,33
555,38
622,44
694,50
782,56
872,63
961,68
1064,73
1129,77
1217,79
1247,80
1281,78
1269,75
1166,70
1181,64
1106,56
977,48
852,39
740,31
618,24
508,17
432,13
321,10
286,10
267,12
272,16
315,22
385,29
465,37
583,45
689,54
816,61
930,67
1046,72
1125,74
1175,74
1216,73
1183,69
1143,64
1093,57
989,50
884,42
768,35
670,29
579,24
503,21
443,20
408,21
423,23
425,26
447,31
534,37
602,43
685,48
733,53
806,57
822,59
929,60
919,60
965,58
951,54
903,50
806,45
794,40
858,35
591,31
686,28
407,26
493,25
458,25
464,26
482,28
463,31
502,34
576,72
960,76
1168,79
1231,81
1281,83
1262,84
1351,83
1343,83
1350,81
1306,79
1294,78
1265,76
1333,74
1255,74
1263,73
1263,74
1189,75
1224,76
1229,78
1251,80
1299,82
1317,84
1360,85
1317,86
1423,86
1451,86
1377,84
1325,82
1202,79
1297,76
1265,72
1081,68
1246,65
1069,62
1040,59
962,56
980,54
917,52
947,51
832,49
816,48
813,47
790,45
784,43
726,41
720,39
684,36
644,33
592,30
577,27
384,24
481,22
439,20
426,19
395,20
497,21
463,23
429,26
535,30
611,35
647,40
656,45
545,51
787,56
849,61
1007,65
917,69
1107,72
1143,75
1155,77
1226,78
1251,79
1259,80
1286,80
1280,79
1274,79
1274,78
1270,76
1259,74
1264,72
1167,69
1158,65
1102,61
1023,56
838,51
880,45
803,40
737,34
645,30
643,26
495,23
469,22
435,22
432,24
577,27
487,32
541,39
709,47
738,55
832,63
957,71
1092,79
1216,84
1298,89
1378,91
1417,91
1559,89
1419,85
1389,79
1307,72
1231,63
1093,55
960,46
837,39
695,33
625,28
539,26
510,26
497,28
464,32
545,37
617,44
704,51
784,59
899,67
1023,73
1137,78
1255,82
1276,83
1324,83
1318,81
1326,77
1285,72
1199,66
1122,60
1038,55
967,49
855,45
805,43
752,41
718,42
713,44
734,47
776,52
831,57
880,62
976,67
1069,71
1136,75
1186,78
1226,79
1263,79
1270,78
1263,76
1264,73
1207,69
1166,66
1120,63
1057,60
999,58
967,58
954,58
934,59
957,61
984,64
1036,68
1075,71
1147,75
1183,78
1238,81
1282,82
1311,83
1328,83
1333,83
1342,81
1317,79
1297,77
1264,75
1234,72
1202,71
1184,69
1143,69
1145,69
1136,69
1136,70
1159,72
1168,73
1187,75
1214,76
1232,77
1232,77
1245,76
1235,75
1223,72
1197,70
1165,66
1115,62
1057,58
976,54
915,51
867,47
824,44
763,42
740,40
703,38
688,37
656,36
640,36
627,35
624,34
607,33
609,32
592,30
554,28
526,26
496,24
463,22
439,21
426,20
401,19
389,20
395,22
426,24
438,28
493,32
544,37
602,42
668,48
752,53
833,59
912,64
999,68
1077,72
1136,75
1188,78
1238,79
1264,80
1287,80
1293,80
1298,79
1267,78
1277,76
1243,74
1214,72
1196,70
1156,67
1122,64
1086,60
1013,57
953,52
897,48
833,43
756,38
691,33
630,29
561,26
506,23
459,22
433,22
426,24
449,27
507,32
541,38
632,45
709,53
806,61
919,69
1056,76
1175,83
1291,87
1349,90
1404,91
1435,90
1437,86
1397,81
1335,74
1248,66
1153,57
1008,49
884,41
765,34
659,29
575,26
510,24
481,25
470,29
507,34
572,40
649,48
743,55
849,63
954,70
1079,76
1181,81
1267,84
1340,84
1343,83
1344,80
1293,75
1247,70
1175,64
1118,57
981,52
1009,47
821,43
782,41
697,41
707,42
711,44
748,48
747,53
843,58
947,64
1002,69
1100,73
1355,76
1226,78
1235,79
1253,78
1221,77
1264,74
1305,71
1394,67
1166,63
1009,60
1046,57
938,56
938,55
910,55
877,57
785,59
944,62
985,65
976,69
1105,72
1115,75
1210,77
1232,78
1283,79
1254,78
1264,77
1297,74
1165,72
1200,69
1179,66
1131,64
1094,61
1019,60
960,59
995,59
912,59
838,60
973,61
966,62
985,63
959,64
1042,64
1054,63
1011,62
976,60
1005,58
976,54
909,51
962,47
887,43
854,39
747,35
634,32
592,29
476,28
624,26
486,25
470,25
466,25
511,25
438,25
475,25
550,25
477,24
369,24
527,23
447,22
422,21
399,20
506,20
407,20
390,21
385,23
433,26
456,29
493,34
603,38
709,44
715,49
781,55
863,61
919,66
1039,70
1117,74
1137,77
1249,79
1253,80
1333,80
1293,80
1296,79
1168,77
1277,75
1232,72
1196,70
1161,67
1142,64
1079,61
1042,58
969,54
914,51
869,47
814,43
784,39
708,35
680,31
576,27
537,25
496,22
448,21
410,22
418,23
432,26
464,30
511,36
592,43
678,50
780,58
897,66
1011,73
1133,79
1230,84
1391,88
1375,89
1409,88
1403,86
1385,81
1219,74
1265,67
1158,58
1003,50
895,41
765,34
715,28
577,24
496,22
448,22
450,24
446,28
491,34
565,42
665,50
671,58
880,66
1017,72
1125,78
1221,81
1262,83
1323,83
1342,80
1305,76
1249,71
1197,65
1118,58
1019,52
933,46
825,42
752,39
697,37
638,37
657,39
652,42
695,47
752,52
819,57
886,63
971,67
1059,71
1131,74
1170,76
1228,76
1223,75
1181,72
1200,69
1141,65
1117,61
1036,57
975,54
920,51
877,49
823,49
823,49
829,51
834,53
880,56
910,59
944,63
982,66
1068,68
1014,70
1136,70
1152,70
1139,69
1154,67
1118,64
1073,61
1012,57
948,54
909,51
867,49
845,47
798,46
781,46
780,46
767,47
779,47
782,48
799,49
818,50
836,50
834,49
820,48
816,45
777,43
752,39
693,36
653,32
588,28
543,25
496,21
438,19
400,17
373,16
348,16
341,16
343,16
337,17
353,18
369,19
365,20
384,21
396,22
413,22
421,22
418,22
421,22
423,23
432,23
432,24
443,26
465,29
498,32
555,36
596,41
662,46
724,51
801,57
883,62
974,67
1060,71
1126,75
1191,78
1227,79
1259,80
1275,80
1290,79
1267,77
1261,74
1233,71
1200,68
1140,65
1104,61
1013,58
979,54
921,51
866,47
816,44
784,40
717,37
674,34
640,30
559,27
528,25
491,23
460,21
437,20
405,21
405,22
414,25
460,29
496,34
563,40
647,47
739,54
829,62
953,69
1067,75
1158,80
1241,84
1311,86
1362,86
1374,84
1358,79
1297,73
1232,66
1137,58
1008,49
889,41
752,33
653,26
553,21
454,18
400,17
380,19
378,22
407,28
484,35
578,43
676,51
775,59
909,66
1015,73
1134,77
1211,80
1259,80
1282,79
1285,75
1238,71
1189,65
1104,58
1007,51
908,45
800,39
723,35
646,32
595,31
574,32
580,35
592,38
659,43
689,49
773,54
842,60
931,64
1008,68
1084,70
1135,71
1151,70
1147,68
1138,65
1088,61
1018,57
991,52
897,48
815,45
685,42
881,41
711,40
699,41
681,43
717,45
705,48
759,51
816,54
884,57
926,59
983,60
935,60
897,59
960,58
953,55
933,52
878,48
933,45
573,41
727,38
758,36
656,34
655,33
597,33
598,33
576,34
595,35
623,36
619,37
755,37
702,37
615,36
481,35
746,33
599,30
538,27
480,24
447,20
415,17
460,14
330,12
275,10
208,9
238,9
294,10
225,11
259,13
310,14
285,16
289,19
365,20
457,22
410,24
418,25
446,26
528,27
484,27
480,28
496,30
411,32
555,34
577,37
576,41
733,45
714,49
861,54
880,59
904,64
1008,69
1097,73
1143,76
1221,78
1291,79
1250,80
1275,79
1283,77
1298,75
1106,71
1185,68
1170,64
974,60
1013,55
952,51
883,47
803,44
884,40
706,37
651,34
639,31
589,28
592,26
450,24
411,22
452,21
402,20
386,20
403,20
388,22
415,24
441,28
487,33
562,38
611,45
711,52
805,58
908,65
889,71
1104,76
1291,80
1193,82
1172,83
1325,81
1307,77
1232,72
1200,65
1104,57
999,49
885,40
765,32
681,25
530,19
431,15
368,13
294,14
320,17
426,21
367,28
464,35
565,44
683,52
758,60
912,67
1127,76
1199,77
1221,77
1235,74
1219,70
1255,64
987,57
976,50
879,43
778,37
731,31
607,28
672,26
506,25
490,27
453,30
525,34
582,40
686,45
724,51
799,56
884,60
931,63
985,65
1003,65
1066,63
1018,61
1007,57
962,53
907,48
839,43
762,39
702,36
683,33
601,32
592,32
587,33
593,35
566,37
615,40
626,43
705,46
716,49
791,50
816,51
835,51
844,49
817,47
800,44
754,41
718,37
667,33
601,30
561,27
511,24
473,23
440,22
442,22
432,23
437,24
446,25
461,27
490,28
500,28
498,28
496,28
511,27
493,25
471,23
448,20
405,17
380,14
331,12
292,10
272,8
240,8
229,8
230,9
221,10
242,12
256,15
294,18
336,21
384,24
430,26
460,29
508,31
530,32
557,34
581,35
593,36
609,38
640,40
671,42
691,44
730,47
755,50
807,54
859,58
897,63
989,67
1064,71
1127,74
1183,77
1226,79
1264,79
1276,79
1271,78
1264,76
1246,73
1217,69
1165,65
1104,60
1023,55
943,50
869,46
803,41
734,37
688,34
627,31
587,28
528,26
496,24
464,22
437,21
417,20
405,20
402,19
400,20
393,21
400,23
430,25
445,29
502,33
554,38
624,44
703,50
784,56
862,63
973,68
1063,73
1136,77
1216,79
1251,80
1281,78
1283,75
1232,70
1178,64
1104,56
976,48
861,39
742,31
625,24
511,17
403,13
330,10
273,10
266,12
272,16
336,22
384,29
479,37
592,45
691,54
806,61
926,67
1045,72
1115,74
1181,74
1197,73
1198,69
1163,64
1097,57
983,50
896,42
754,35
670,29
576,24
505,21
444,20
422,21
415,23
419,26
459,31
522,37
603,43
688,48
758,53
836,57
897,59
919,60
954,60
970,58
951,54
906,50
863,45
798,40
723,35
653,31
590,28
537,26
499,25
478,25
464,26
473,28
544,31
538,34
558,72
1021,76
1137,79
1227,81
1259,83
1310,84
1277,83
1334,83
1329,81
1278,79
1291,78
1273,76
1258,74
1222,74
1229,73
1197,74
1199,75
1197,76
1222,78
1259,80
1274,82
1489,84
1333,85
1349,86
1373,86
1379,86
1435,84
1349,82
1341,79
1275,76
1478,72
1211,68
1115,65
1099,62
1041,59
1086,56
951,54
907,52
847,51
865,49
831,48
802,47
759,45
774,43
750,41
714,39
688,36
651,33
610,30
572,27
525,24
414,22
450,20
406,19
397,20
371,21
400,23
462,26
465,30
508,35
577,40
635,45
709,51
814,56
964,61
946,65
1037,69
1091,72
1135,75
1190,77
1272,78
1290,79
1264,80
1274,80
1263,79
1356,79
1256,78
1264,76
1248,74
1216,72
1195,69
1168,65
1056,61
1023,56
923,51
944,45
880,40
747,34
634,30
557,26
529,23
461,22
445,22
430,24
567,27
483,32
511,39
631,47
724,55
832,63
832,71
1088,79
1195,84
1325,89
1371,91
1413,91
1457,89
1428,85
1392,79
1284,72
1207,63
1103,55
959,46
853,39
721,33
752,28
560,26
593,26
461,28
563,32
550,37
623,44
763,51
799,59
1020,67
1033,73
1138,78
1233,82
1279,83
1315,83
1328,81
1319,77
1267,72
1214,66
1147,60
962,55
944,49
862,45
800,43
746,41
720,42
726,44
735,47
771,52
818,57
898,62
961,67
1060,71
1135,75
1181,78
1228,79
1264,79
1266,78
1267,76
1236,73
1206,69
1166,66
1229,63
1057,60
1008,58
972,58
944,58
941,59
951,61
979,64
1035,68
1091,71
1156,75
1203,78
1235,81
1287,82
1308,83
1329,83
1329,83
1339,81
1314,79
1291,77
1255,75
1234,72
1199,71
1179,69
1165,69
1147,69
1139,69
1119,70
1147,72
1168,73
1181,75
1215,76
1228,77
1250,77
1250,76
1252,75
1223,72
1196,70
1168,66
1123,62
1047,58
979,54
919,51
871,47
814,44
758,42
750,40
707,38
675,37
651,36
651,36
639,35
616,34
595,33
592,32
571,30
547,28
528,26
489,24
468,22
432,21
432,20
399,19
389,20
403,22
413,24
434,28
482,32
541,37
607,42
674,48
752,53
819,59
914,64
992,68
1078,72
1152,75
1186,78
1241,79
1264,80
1297,80
1289,80
1291,79
1278,78
1279,76
1247,74
1216,72
1204,70
1152,67
1134,64
1082,60
1015,57
967,52
903,48
829,43
755,38
714,33
623,29
562,26
510,23
467,22
438,22
422,24
386,27
480,32
542,38
606,45
693,53
816,61
930,69
1072,76
1168,83
1284,87
1356,90
1401,91
1434,90
1442,86
1406,81
1343,74
1259,66
1139,57
1006,49
880,41
763,34
661,29
574,26
529,24
481,25
471,29
503,34
567,40
641,48
750,55
848,63
957,70
1082,76
1184,81
1267,84
1317,84
1335,83
1331,80
1306,75
1255,70
1187,64
1107,57
985,52
906,47
826,43
753,41
720,41
709,42
717,44
729,48
779,53
848,58
909,64
973,69
1091,73
1152,76
1210,78
1245,79
1264,78
1261,77
1251,74
1210,71
1184,67
1136,63
1063,60
993,57
959,56
937,55
909,55
894,57
914,59
939,62
988,65
1046,69
1104,72
1158,75
1191,77
1222,78
1258,79
1119,78
1274,77
1259,74
1216,72
1191,69
1156,66
1115,64
1083,61
1015,60
985,59
966,59
962,59
970,60
992,61
978,62
987,63
987,64
1037,64
1061,63
1040,62
1006,60
978,58
954,54
907,51
868,47
813,43
761,39
707,35
646,32
598,29
539,28
509,26
494,25
482,25
476,25
478,25
464,25
463,25
466,25
450,24
451,24
455,23
426,22
429,21
385,20
403,20
358,20
403,21
398,23
421,26
448,29
505,34
573,38
608,44
740,49
873,55
901,61
934,66
1031,70
1060,74
1169,77
1221,79
1348,80
1269,80
1292,80
1229,79
1278,77
1264,75
1243,72
1200,70
1169,67
1019,64
972,61
1021,58
1078,54
1018,51
872,47
816,43
774,39
692,35
631,31
577,27
539,25
484,22
442,21
430,22
443,23
437,26
464,30
502,36
592,43
666,50
752,58
877,66
972,73
1133,79
1284,84
1360,88
1372,89
1466,88
1399,86
1394,81
1342,74
1143,67
1166,58
999,50
893,41
734,34
658,28
563,24
501,22
400,22
434,24
541,28
486,34
560,42
655,50
863,58
885,66
1021,72
1121,78
1211,81
1323,83
1318,83
