ADC,DAC
976,62
1003,63
1003,62
993,60
855,58
1010,55
816,51
822,48
800,45
784,42
733,40
697,39
685,39
674,40
681,41
700,43
708,45
802,47
771,49
795,50
818,51
847,51
1008,50
882,49
958,47
794,44
763,41
698,38
641,35
640,32
596,29
553,28
491,26
493,26
433,25
382,25
464,26
448,27
493,27
496,27
494,28
506,27
482,27
505,26
314,26
466,25
453,25
464,25
495,26
509,28
624,31
528,34
535,39
618,44
717,49
780,55
852,60
923,65
1011,69
1090,71
1134,73
1256,73
1136,71
1159,69
1168,64
1091,59
1070,53
936,47
828,42
751,36
602,32
646,28
535,26
507,26
469,27
608,29
498,33
555,37
622,42
691,47
763,51
805,55
841,58
912,60
945,61
1050,61
1109,59
925,57
919,53
897,50
843,46
741,43
768,40
670,38
688,36
642,36
686,36
697,37
653,39
674,41
689,43
685,45
765,46
736,47
666,48
785,47
795,46
782,44
730,41
720,38
687,35
627,32
647,29
579,27
569,25
400,24
444,23
448,23
436,23
416,24
443,24
445,25
502,26
477,27
525,27
478,27
448,27
470,27
473,27
496,27
563,27
490,28
498,30
574,32
560,35
675,39
463,44
710,49
751,54
717,59
1044,64
1056,68
1066,71
1182,72
1152,72
1125,71
1190,68
1152,64
1091,59
998,53
928,47
822,41
688,36
674,31
596,27
560,25
609,24
468,25
464,27
485,30
560,34
577,39
720,44
720,49
775,53
843,56
880,58
926,60
950,59
944,58
919,56
926,53
895,49
832,45
789,41
737,38
679,36
727,34
665,33
590,33
608,34
593,35
615,37
592,39
661,41
686,43
719,44
783,45
741,45
752,44
939,42
715,40
700,37
622,34
523,31
586,28
547,25
495,23
432,22
426,21
411,21
402,21
387,22
414,23
427,25
425,26
470,27
480,28
497,28
493,28
497,29
529,29
465,29
499,29
523,30
634,32
641,34
581,37
635,40
662,45
715,49
773,54
849,59
923,63
976,67
1056,70
1120,72
1031,72
1152,71
1161,68
1143,64
1090,59
994,54
921,47
838,41
751,35
662,30
579,26
523,24
483,22
452,23
433,25
443,28
496,32
539,36
611,41
672,46
557,51
789,54
838,57
902,58
935,58
944,57
967,55
912,52
